"Station Name","TORONTO"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158350"
"WMO Identifier","71266"
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1990-01-01","1990","01","01","","-1.1","","-4.8","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1990-01-02","1990","01","02","","1.6","","-2.6","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1990-01-03","1990","01","03","","4.7","","-0.9","","1.9","","16.1","","0.0","","0.6","","0.0","","0.6","","10","","","","",""
"1990-01-04","1990","01","04","","6.4","","3.6","","5.0","","13.0","","0.0","","2.8","","0.0","","2.8","","8","","","","",""
"1990-01-05","1990","01","05","","1.0","","-1.6","","-0.3","","18.3","","0.0","","0.0","","0.0","T","0.0","T","4","","","","",""
"1990-01-06","1990","01","06","","0.5","","-3.3","","-1.4","","19.4","","0.0","","0.0","","0.0","T","0.0","T","4","","","","",""
"1990-01-07","1990","01","07","","3.4","","-3.3","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"1990-01-08","1990","01","08","","3.7","","-0.8","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"1990-01-09","1990","01","09","","4.4","","2.0","","3.2","","14.8","","0.0","","9.2","","0.0","","9.2","","2","","","","",""
"1990-01-10","1990","01","10","","2.6","","-0.4","","1.1","","16.9","","0.0","","0.0","T","0.4","","0.4","","0","T","","","",""
"1990-01-11","1990","01","11","","4.6","","-0.9","","1.9","","16.1","","0.0","","0.2","","2.0","","2.2","","0","T","","","",""
"1990-01-12","1990","01","12","","-2.5","","-6.0","","-4.3","","22.3","","0.0","","0.0","","0.8","","0.6","","2","","","","",""
"1990-01-13","1990","01","13","","-3.8","","-11.9","","-7.9","","25.9","","0.0","","0.0","","0.0","T","0.0","T","2","","","","",""
"1990-01-14","1990","01","14","","-0.1","","-4.2","","-2.2","","20.2","","0.0","","0.0","","0.4","","0.4","","2","","","","",""
"1990-01-15","1990","01","15","","6.0","","-3.1","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"1990-01-16","1990","01","16","","5.7","","0.1","","2.9","","15.1","","0.0","","0.4","","0.0","","0.4","","0","T","","","",""
"1990-01-17","1990","01","17","","9.2","","2.0","","5.6","","12.4","","0.0","","4.8","","0.0","","4.8","","0","T","","","",""
"1990-01-18","1990","01","18","","4.8","","1.3","","3.1","","14.9","","0.0","","0.0","T","0.2","","0.2","","0","","","","",""
"1990-01-19","1990","01","19","","-0.7","","-4.0","","-2.4","","20.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"1990-01-20","1990","01","20","","1.0","","-2.2","","-0.6","","18.6","","0.0","","0.2","","0.8","","1.2","","0","T","","","",""
"1990-01-21","1990","01","21","","1.0","","-6.3","","-2.7","","20.7","","0.0","","0.6","","4.6","","5.2","","0","T","","","",""
"1990-01-22","1990","01","22","","1.9","","-6.1","","-2.1","","20.1","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"1990-01-23","1990","01","23","","6.8","","-2.8","","2.0","","16.0","","0.0","","1.2","","0.4","","1.8","","5","","","","",""
"1990-01-24","1990","01","24","","6.9","","1.2","","4.1","","13.9","","0.0","","0.0","T","0.0","","0.0","T","1","","","","",""
"1990-01-25","1990","01","25","","8.6","","1.2","","4.9","","13.1","","0.0","","3.0","","0.0","T","3.0","","0","","","","",""
"1990-01-26","1990","01","26","","1.8","","0.2","","1.0","","17.0","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"1990-01-27","1990","01","27","","10.1","","-1.0","","4.6","","13.4","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-28","1990","01","28","","3.2","","-1.4","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-29","1990","01","29","","1.4","","-0.8","","0.3","","17.7","","0.0","","0.0","","11.0","","11.2","","0","","","","",""
"1990-01-30","1990","01","30","","1.5","","-3.1","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1990-01-31","1990","01","31","","2.7","","-1.5","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1990-02-01","1990","02","01","","5.9","","-0.9","","2.5","","15.5","","0.0","","0.0","T","0.2","","0.2","","6","","","","",""
"1990-02-02","1990","02","02","","-2.1","","-7.1","","-4.6","","22.6","","0.0","","0.0","","5.0","","5.0","","2","","","","",""
"1990-02-03","1990","02","03","","-7.3","","-9.7","","-8.5","","26.5","","0.0","","0.0","","7.0","","7.0","","7","","","","",""
"1990-02-04","1990","02","04","","-3.4","","-9.4","","-6.4","","24.4","","0.0","","0.0","","0.0","T","0.0","T","11","","","","",""
"1990-02-05","1990","02","05","","2.3","","-8.9","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1990-02-06","1990","02","06","","5.9","","0.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"1990-02-07","1990","02","07","","6.5","","1.4","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"1990-02-08","1990","02","08","","8.3","","1.5","","4.9","","13.1","","0.0","","1.8","","0.0","","1.8","","1","","","","",""
"1990-02-09","1990","02","09","","11.1","","6.5","","8.8","","9.2","","0.0","","0.4","","0.0","","0.4","","0","T","","","",""
"1990-02-10","1990","02","10","","2.5","","0.2","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-02-11","1990","02","11","","1.4","","-3.9","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-02-12","1990","02","12","","5.8","","-2.2","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-02-13","1990","02","13","","12.0","","0.4","","6.2","","11.8","","0.0","","4.2","","1.0","","5.2","","0","","","","",""
"1990-02-14","1990","02","14","","-3.0","","-4.8","","-3.9","","21.9","","0.0","","0.0","","13.0","","13.0","","1","","","","",""
"1990-02-15","1990","02","15","","-3.6","","-7.2","","-5.4","","23.4","","0.0","","10.8","","8.8","","19.6","","13","","","","",""
"1990-02-16","1990","02","16","","2.4","","-5.2","","-1.4","","19.4","","0.0","","3.4","","0.0","T","3.4","","16","","","","",""
"1990-02-17","1990","02","17","","-8.6","","-12.0","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"1990-02-18","1990","02","18","","3.1","","-11.7","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"1990-02-19","1990","02","19","","0.5","","-2.8","","-1.2","","19.2","","0.0","","0.0","","0.0","T","0.0","T","14","","","","",""
"1990-02-20","1990","02","20","","-2.5","","-10.6","","-6.6","","24.6","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"1990-02-21","1990","02","21","","6.1","","-5.2","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1990-02-22","1990","02","22","","5.0","","1.4","","3.2","","14.8","","0.0","","34.2","","0.2","","34.4","","11","","","","",""
"1990-02-23","1990","02","23","","0.3","","-1.5","","-0.6","","18.6","","0.0","","0.0","","1.0","","1.0","","7","","","","",""
"1990-02-24","1990","02","24","","-3.5","","-5.7","","-4.6","","22.6","","0.0","","0.0","","1.4","","1.4","","8","","","","",""
"1990-02-25","1990","02","25","","-12.8","","-16.5","","-14.7","","32.7","","0.0","","0.0","","0.0","T","0.0","T","10","","","","",""
"1990-02-26","1990","02","26","","-0.1","","-15.9","","-8.0","","26.0","","0.0","","0.0","","0.0","T","0.0","T","9","","","","",""
"1990-02-27","1990","02","27","","2.2","","-6.5","","-2.2","","20.2","","0.0","","0.0","","1.2","","1.2","","9","","","","",""
"1990-02-28","1990","02","28","","-2.6","","-7.7","","-5.2","","23.2","","0.0","","0.0","","0.0","T","0.0","T","9","","","","",""
