"Station Name","TORONTO"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158350"
"WMO Identifier","71266"
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1992-01-01","1992","01","01","","1.5","","-1.7","","-0.1","","18.1","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"1992-01-02","1992","01","02","","3.3","","0.0","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1992-01-03","1992","01","03","","5.6","","1.6","","3.6","","14.4","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"1992-01-04","1992","01","04","","6.4","","4.4","","5.4","","12.6","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"1992-01-05","1992","01","05","","5.1","","2.8","","4.0","","14.0","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"1992-01-06","1992","01","06","","3.0","","0.3","","1.7","","16.3","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"1992-01-07","1992","01","07","","3.7","","2.1","","2.9","","15.1","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"1992-01-08","1992","01","08","","3.1","","-7.1","","-2.0","","20.0","","0.0","","0.8","","0.0","T","0.8","","0","","","","",""
"1992-01-09","1992","01","09","","6.0","","-3.0","","1.5","","16.5","","0.0","","1.0","","0.0","T","1.0","","0","","","","",""
"1992-01-10","1992","01","10","","1.0","","-1.3","","-0.2","","18.2","","0.0","","0.0","","0.4","","0.4","","0","","","","",""
"1992-01-11","1992","01","11","","1.3","","-3.5","","-1.1","","19.1","","0.0","","0.0","","0.4","","0.4","","0","T","","","",""
"1992-01-12","1992","01","12","","6.0","","-3.2","","1.4","","16.6","","0.0","","1.6","","0.0","","1.6","","0","T","","","",""
"1992-01-13","1992","01","13","","5.2","","2.6","","3.9","","14.1","","0.0","","16.2","","0.0","T","16.2","","0","","","","",""
"1992-01-14","1992","01","14","","1.9","","-11.1","","-4.6","","22.6","","0.0","","3.4","","7.0","","8.4","","0","","","","",""
"1992-01-15","1992","01","15","","-11.9","","-16.8","","-14.4","","32.4","","0.0","","0.0","","0.0","T","0.0","T","2","","","","",""
"1992-01-16","1992","01","16","","-5.0","","-20.8","","-12.9","","30.9","","0.0","","0.0","","2.0","","1.2","","2","","","","",""
"1992-01-17","1992","01","17","","-2.3","","-11.5","","-6.9","","24.9","","0.0","","0.0","","2.2","","0.8","","3","","","","",""
"1992-01-18","1992","01","18","","-10.5","","-12.6","","-11.6","","29.6","","0.0","","0.0","","0.0","T","0.0","T","3","","","","",""
"1992-01-19","1992","01","19","","-8.2","","-14.8","","-11.5","","29.5","","0.0","","0.0","","2.0","","1.8","","3","","","","",""
"1992-01-20","1992","01","20","","-3.3","","-11.3","","-7.3","","25.3","","0.0","","0.0","T","0.0","T","0.0","T","5","","","","",""
"1992-01-21","1992","01","21","","-0.4","","-7.1","","-3.8","","21.8","","0.0","","0.0","","0.6","","0.4","","4","","","","",""
"1992-01-22","1992","01","22","","5.0","","-9.2","","-2.1","","20.1","","0.0","","0.0","T","0.0","","0.0","T","3","","","","",""
"1992-01-23","1992","01","23","","5.1","","-0.3","","2.4","","15.6","","0.0","","8.6","","0.2","","8.8","","2","","","","",""
"1992-01-24","1992","01","24","","-1.4","","-8.4","","-4.9","","22.9","","0.0","","0.0","","0.2","","0.2","","0","T","","","",""
"1992-01-25","1992","01","25","","-9.2","","-18.4","","-13.8","","31.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"1992-01-26","1992","01","26","","-4.0","","-11.7","","-7.9","","25.9","","0.0","","0.0","","1.2","","0.8","","0","T","","","",""
"1992-01-27","1992","01","27","","0.0","","-7.5","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"1992-01-28","1992","01","28","","0.1","","-4.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1992-01-29","1992","01","29","","2.2","","-1.4","","0.4","","17.6","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1992-01-30","1992","01","30","","2.5","","-0.5","","1.0","","17.0","","0.0","","0.0","T","0.0","","0.0","T","0","T","","","",""
"1992-01-31","1992","01","31","","-0.4","","-2.8","","-1.6","","19.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"1992-02-01","1992","02","01","","-6.6","","-12.1","","-9.4","","27.4","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1992-02-02","1992","02","02","","-0.4","","-9.9","","-5.2","","23.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1992-02-03","1992","02","03","","2.1","","-2.0","","0.1","","17.9","","0.0","","0.0","T","0.0","T","0.0","T","0","","","","",""
"1992-02-04","1992","02","04","","1.6","","-0.5","","0.6","","17.4","","0.0","","0.2","","1.4","","1.2","","0","","","","",""
"1992-02-05","1992","02","05","","-2.4","","-7.7","","-5.1","","23.1","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"1992-02-06","1992","02","06","","1.8","","-5.4","","-1.8","","19.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"1992-02-07","1992","02","07","","0.6","","-1.8","","-0.6","","18.6","","0.0","","0.0","","0.8","","0.4","","0","T","","","",""
"1992-02-08","1992","02","08","","-4.0","","-7.7","","-5.9","","23.9","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"1992-02-09","1992","02","09","","-7.2","","-17.8","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1992-02-10","1992","02","10","","2.0","","-11.7","","-4.9","","22.9","","0.0","","0.0","T","0.0","T","0.0","T","0","T","","","",""
"1992-02-11","1992","02","11","","2.0","","-9.0","","-3.5","","21.5","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"1992-02-12","1992","02","12","","-5.6","","-17.2","","-11.4","","29.4","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1992-02-13","1992","02","13","","-0.4","","-8.2","","-4.3","","22.3","","0.0","","0.0","","0.6","","0.4","","0","","","","",""
