"Station Name","TORONTO"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158350"
"WMO Identifier","71266"
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2011-01-01","2011","01","01","†","","","","","","","","","","","0.0","T","0.0","T","0.0","T","0","","","","",""
"2011-01-02","2011","01","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"2011-01-03","2011","01","03","†","","","","","","","","","","","0.0","T","2.0","","2.0","","0","","","","",""
"2011-01-04","2011","01","04","†","","","","","","","","","","","0.0","","0.0","T","0.2","","2","","","","",""
"2011-01-05","2011","01","05","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"2011-01-06","2011","01","06","†","","","","","","","","","","","0.0","","5.4","","3.3","","0","","","","",""
"2011-01-07","2011","01","07","†","","","","","","","","","","","0.0","","8.8","","3.0","","6","","","","",""
"2011-01-08","2011","01","08","†","","","","","","","","","","","0.0","","8.0","","5.0","","14","","","","",""
"2011-01-09","2011","01","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","19","","","","",""
"2011-01-10","2011","01","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","12","","","","",""
"2011-01-11","2011","01","11","†","","","","","","","","","","","0.0","","6.7","","6.1","","12","","","","",""
"2011-01-12","2011","01","12","†","","","","","","","","","","","0.0","","1.2","","1.0","","17","","","","",""
"2011-01-13","2011","01","13","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","17","","","","",""
"2011-01-14","2011","01","14","†","","","","","","","","","","","0.0","","2.7","","2.9","","16","","","","",""
"2011-01-15","2011","01","15","†","","","","","","","","","","","0.0","","5.9","","3.2","","15","","","","",""
"2011-01-16","2011","01","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","21","","","","",""
"2011-01-17","2011","01","17","†","","","","","","","","","","","0.0","T","0.0","","0.1","","19","","","","",""
"2011-01-18","2011","01","18","†","","","","","","","","","","","5.0","","0.0","T","5.0","","17","","","","",""
"2011-01-19","2011","01","19","†","","","","","","","","","","","0.0","","0.1","","1.9","","12","","","","",""
"2011-01-20","2011","01","20","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","12","","","","",""
"2011-01-21","2011","01","21","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","13","","","","",""
"2011-01-22","2011","01","22","†","","","","","","","","","","","0.0","","3.9","","2.2","","13","","","","",""
"2011-01-23","2011","01","23","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","16","","","","",""
"2011-01-24","2011","01","24","†","","","","","","","","","","","0.0","","2.7","","2.0","","16","","","","",""
"2011-01-25","2011","01","25","†","","","","","","","","","","","0.0","","0.0","","0.0","","19","","","","",""
"2011-01-26","2011","01","26","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","18","","","","",""
"2011-01-27","2011","01","27","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","17","","","","",""
"2011-01-28","2011","01","28","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","16","","","","",""
