"Station Name","TORONTO"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158350"
"WMO Identifier","71266"
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2002-01-01","2002","01","01","","-2.2","","-7.0","","-4.6","","22.6","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2002-01-02","2002","01","02","","1.5","","-6.1","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2002-01-03","2002","01","03","","1.6","","-4.1","","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2002-01-04","2002","01","04","","1.9","","-2.8","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2002-01-05","2002","01","05","","4.0","","0.1","","2.1","","15.9","","0.0","","0.0","","1.8","","1.8","","0","","","","",""
"2002-01-06","2002","01","06","","2.0","","0.6","","1.3","","16.7","","0.0","","1.2","","3.0","","4.2","","1","","","","",""
"2002-01-07","2002","01","07","","-3.1","","-6.2","","-4.7","","22.7","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"2002-01-08","2002","01","08","","2.6","","-6.7","","-2.1","","20.1","","0.0","","1.0","","0.4","","1.8","","0","T","","","",""
"2002-01-09","2002","01","09","","5.6","","-0.2","","2.7","","15.3","","0.0","","0.0","T","0.0","","0.0","T","0","T","","","",""
"2002-01-10","2002","01","10","","6.2","","2.9","","4.6","","13.4","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
