"Station Name","TORONTO"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158350"
"WMO Identifier","71266"
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2004-01-01","2004","01","01","","","","","","","","","","","","2.0","","0.0","","2.0","","0","","","","",""
"2004-01-02","2004","01","02","","","","","","","","","","","","5.4","","0.0","","5.4","","0","","","","",""
"2004-01-03","2004","01","03","","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2004-01-04","2004","01","04","","","","","","","","","","","","0.0","","5.6","","5.4","","0","","","","",""
"2004-01-05","2004","01","05","","","","","","","","","","","","0.0","","0.6","","0.6","","6","","","","",""
"2004-01-06","2004","01","06","","","","","","","","","","","","0.0","","0.0","T","0.0","T","6","","","","",""
"2004-01-07","2004","01","07","","","","","","","","","","","","0.0","","1.8","","1.2","","6","","","","",""
"2004-01-08","2004","01","08","","","","","","","","","","","","0.0","","0.0","T","0.0","T","8","","","","",""
"2004-01-09","2004","01","09","","","","","","","","","","","","0.0","","0.0","","0.0","","8","","","","",""
"2004-01-10","2004","01","10","","","","","","","","","","","","0.0","","0.0","T","0.0","T","6","","","","",""
"2004-01-11","2004","01","11","","","","","","","","","","","","0.0","","5.8","","6.6","","6","","","","",""
"2004-01-12","2004","01","12","","","","","","","","","","","","0.0","T","3.0","","3.6","","11","","","","",""
"2004-01-13","2004","01","13","","","","","","","","","","","","0.0","","0.0","T","0.0","T","13","","","","",""
"2004-01-14","2004","01","14","","","","","","","","","","","","0.0","","8.2","","7.8","","13","","","","",""
"2004-01-15","2004","01","15","","","","","","","","","","","","0.0","","0.0","T","0.0","T","19","","","","",""
"2004-01-16","2004","01","16","","","","","","","","","","","","0.0","","0.0","","0.0","","19","","","","",""
"2004-01-17","2004","01","17","","","","","","","","","","","","0.0","","1.5","","2.4","","13","","","","",""
"2004-01-18","2004","01","18","","","","","","","","","","","","0.0","","0.0","T","0.0","T","15","","","","",""
"2004-01-19","2004","01","19","","","","","","","","","","","","0.0","","0.4","","0.4","","13","","","","",""
"2004-01-20","2004","01","20","","","","","","","","","","","","0.0","","0.0","T","0.0","T","13","","","","",""
"2004-01-21","2004","01","21","","","","","","","","","","","","0.0","","1.6","","1.6","","13","","","","",""
"2004-01-22","2004","01","22","","","","","","","","","","","","0.0","","1.2","","1.2","","14","","","","",""
"2004-01-23","2004","01","23","","","","","","","","","","","","0.0","","0.4","","0.4","","12","","","","",""
"2004-01-24","2004","01","24","","","","","","","","","","","","0.0","","0.0","","0.0","","12","","","","",""
"2004-01-25","2004","01","25","","","","","","","","","","","","0.0","","0.6","","0.6","","11","","","","",""
"2004-01-26","2004","01","26","","","","","","","","","","","","0.0","","10.2","","10.2","","12","","","","",""
"2004-01-27","2004","01","27","","","","","","","","","","","","0.0","","19.2","","18.3","","19","","","","",""
"2004-01-28","2004","01","28","","","","","","","","","","","","0.0","","0.4","","0.4","","30","","","","",""
"2004-01-29","2004","01","29","","","","","","","","","","","","0.0","","1.8","","1.2","","20","","","","",""
"2004-01-30","2004","01","30","","","","","","","","","","","","0.0","","2.0","","1.2","","19","","","","",""
"2004-01-31","2004","01","31","","","","","","","","","","","","0.0","","0.0","T","0.0","T","17","","","","",""
"2004-02-01","2004","02","01","","","","","","","","","","","","0.0","","0.0","","0.0","","16","","","","",""
