"Station Name","TORONTO"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158350"
"WMO Identifier","71266"
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1994-01-01","1994","01","01","","3.6","","-0.8","","1.4","","16.6","","0.0","","0.0","T","0.2","","0.6","","0","T","","","",""
"1994-01-02","1994","01","02","","-7.8","","-9.9","","-8.9","","26.9","","0.0","","0.0","","2.2","","0.4","","0","","","","",""
"1994-01-03","1994","01","03","","-9.6","","-14.2","","-11.9","","29.9","","0.0","","0.0","","10.2","","2.0","","2","","","","",""
"1994-01-04","1994","01","04","","-6.1","","-10.7","","-8.4","","26.4","","0.0","","0.0","","0.4","","0.4","","7","","","","",""
"1994-01-05","1994","01","05","","-8.4","","-12.9","","-10.7","","28.7","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"1994-01-06","1994","01","06","","-11.3","","-17.3","","-14.3","","32.3","","0.0","","0.0","","13.8","","6.6","","2","","","","",""
"1994-01-07","1994","01","07","","-12.7","","-16.0","","-14.4","","32.4","","0.0","","0.0","","11.8","","4.8","","14","","","","",""
"1994-01-08","1994","01","08","","-8.2","","-14.2","","-11.2","","29.2","","0.0","","0.0","","1.4","","1.2","","16","","","","",""
"1994-01-09","1994","01","09","","-9.3","","-16.8","","-13.1","","31.1","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"1994-01-10","1994","01","10","","-0.7","","-16.7","","-8.7","","26.7","","0.0","","0.0","","1.6","","1.2","","14","","","","",""
"1994-01-11","1994","01","11","","2.4","","-7.3","","-2.5","","20.5","","0.0","","0.0","T","0.0","T","0.0","T","14","","","","",""
"1994-01-12","1994","01","12","","0.9","","-7.6","","-3.4","","21.4","","0.0","","0.0","","0.0","T","0.0","T","12","","","","",""
"1994-01-13","1994","01","13","","-0.8","","-3.3","","-2.1","","20.1","","0.0","","0.0","","1.6","","1.6","","12","","","","",""
"1994-01-14","1994","01","14","","-10.2","","-13.1","","-11.7","","29.7","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"1994-01-15","1994","01","15","","-20.9","","-24.8","","-22.9","","40.9","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"1994-01-16","1994","01","16","","-6.1","","-25.9","","-16.0","","34.0","","0.0","","0.0","","20.0","","13.0","","7","","","","",""
"1994-01-17","1994","01","17","","-5.3","","-13.4","","-9.4","","27.4","","0.0","","0.0","","1.2","","0.8","","25","","","","",""
"1994-01-18","1994","01","18","","-15.0","","-17.7","","-16.4","","34.4","","0.0","","0.0","","0.0","T","0.0","T","20","","","","",""
"1994-01-19","1994","01","19","","-17.6","","-22.7","","-20.2","","38.2","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1994-01-20","1994","01","20","","-12.5","","-20.7","","-16.6","","34.6","","0.0","","0.0","","0.0","T","0.0","T","13","","","","",""
"1994-01-21","1994","01","21","","-5.3","","-16.2","","-10.8","","28.8","","0.0","","0.0","","0.2","","0.2","","13","","","","",""
"1994-01-22","1994","01","22","","-5.3","","-9.7","","-7.5","","25.5","","0.0","","0.0","","1.0","","0.6","","11","","","","",""
"1994-01-23","1994","01","23","","2.6","","-10.3","","-3.9","","21.9","","0.0","","0.6","","0.0","T","0.6","","11","","","","",""
"1994-01-24","1994","01","24","","1.7","","0.4","","1.1","","16.9","","0.0","","0.0","","0.0","T","0.0","T","10","","","","",""
"1994-01-25","1994","01","25","","-7.6","","-9.1","","-8.4","","26.4","","0.0","","0.0","","2.8","","1.4","","10","","","","",""
"1994-01-26","1994","01","26","","-8.1","","-21.4","","-14.8","","32.8","","0.0","","0.0","","5.4","","2.0","","11","","","","",""
"1994-01-27","1994","01","27","","2.6","","-19.8","","-8.6","","26.6","","0.0","","19.4","","0.0","T","19.4","","14","","","","",""
"1994-01-28","1994","01","28","","5.0","","-1.8","","1.6","","16.4","","0.0","","6.8","","1.0","","7.8","","8","","","","",""
"1994-01-29","1994","01","29","","-6.3","","-8.9","","-7.6","","25.6","","0.0","","0.0","","0.6","","0.4","","8","","","","",""
"1994-01-30","1994","01","30","","-13.2","","-18.8","","-16.0","","34.0","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"1994-01-31","1994","01","31","","-10.7","","-17.3","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"1994-02-01","1994","02","01","","-8.5","","-14.8","","-11.7","","29.7","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1994-02-02","1994","02","02","","-2.6","","-14.2","","-8.4","","26.4","","0.0","","0.0","","0.6","","0.6","","5","","","","",""
"1994-02-03","1994","02","03","","-6.9","","-9.2","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"1994-02-04","1994","02","04","","-4.0","","-9.8","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"1994-02-05","1994","02","05","","-2.2","","-9.0","","-5.6","","23.6","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"1994-02-06","1994","02","06","","-1.9","","-10.3","","-6.1","","24.1","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"1994-02-07","1994","02","07","","-10.1","","-14.4","","-12.3","","30.3","","0.0","","0.0","","0.2","","0.2","","6","","","","",""
"1994-02-08","1994","02","08","","-13.8","","-17.9","","-15.9","","33.9","","0.0","","0.0","","7.8","","5.2","","6","","","","",""
"1994-02-09","1994","02","09","","-12.9","","-17.2","","-15.1","","33.1","","0.0","","0.0","","0.4","","0.2","","11","","","","",""
"1994-02-10","1994","02","10","","-11.0","","-20.0","","-15.5","","33.5","","0.0","","0.0","","0.6","","0.4","","10","","","","",""
"1994-02-11","1994","02","11","","-7.5","","-13.4","","-10.5","","28.5","","0.0","","0.0","","0.2","","0.0","T","9","","","","",""
"1994-02-12","1994","02","12","","-1.2","","-11.2","","-6.2","","24.2","","0.0","","0.0","T","4.2","","4.6","","9","","","","",""
"1994-02-13","1994","02","13","","-1.7","","-4.2","","-3.0","","21.0","","0.0","","0.0","","1.0","","0.4","","13","","","","",""
"1994-02-14","1994","02","14","","-2.3","","-14.1","","-8.2","","26.2","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1994-02-15","1994","02","15","","3.3","","-7.3","","-2.0","","20.0","","0.0","","0.0","","0.2","","0.0","T","12","","","","",""
"1994-02-16","1994","02","16","","-1.0","","-5.4","","-3.2","","21.2","","0.0","","0.0","","0.0","T","0.0","T","10","","","","",""
"1994-02-17","1994","02","17","","6.1","","-2.5","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"1994-02-18","1994","02","18","","7.6","","0.6","","4.1","","13.9","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1994-02-19","1994","02","19","","9.9","","2.1","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"1994-02-20","1994","02","20","","9.7","","7.6","","8.7","","9.3","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"1994-02-21","1994","02","21","","2.2","","0.9","","1.6","","16.4","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"1994-02-22","1994","02","22","","-4.0","","-6.9","","-5.5","","23.5","","0.0","","0.0","","5.0","","3.6","","0","T","","","",""
"1994-02-23","1994","02","23","","1.7","","-8.4","","-3.4","","21.4","","0.0","","0.0","","10.6","","10.8","","5","","","","",""
"1994-02-24","1994","02","24","","0.3","","-5.3","","-2.5","","20.5","","0.0","","0.0","","0.0","T","0.0","T","7","","","","",""
"1994-02-25","1994","02","25","","-6.3","","-12.1","","-9.2","","27.2","","0.0","","0.0","","2.4","","2.2","","7","","","","",""
"1994-02-26","1994","02","26","","-10.8","","-14.0","","-12.4","","30.4","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"1994-02-27","1994","02","27","","-7.2","","-15.2","","-11.2","","29.2","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"1994-02-28","1994","02","28","","-3.2","","-12.2","","-7.7","","25.7","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"1994-03-01","1994","03","01","","-2.2","","-6.2","","-4.2","","22.2","","0.0","","0.0","","0.0","T","0.0","T","5","","","","",""
