"Station Name","TORONTO"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158350"
"WMO Identifier","71266"
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1991-01-01","1991","01","01","","1.2","","-7.9","","-3.4","","21.4","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"1991-01-02","1991","01","02","","0.7","","-1.4","","-0.4","","18.4","","0.0","","0.0","","0.6","","0.6","","0","T","","","",""
"1991-01-03","1991","01","03","","-3.1","","-6.5","","-4.8","","22.8","","0.0","","0.0","","0.0","T","0.0","T","1","","","","",""
"1991-01-04","1991","01","04","","-3.7","","-9.0","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1991-01-05","1991","01","05","","-1.5","","-6.2","","-3.9","","21.9","","0.0","","0.0","","5.8","","5.8","","0","T","","","",""
"1991-01-06","1991","01","06","","-0.2","","-4.9","","-2.6","","20.6","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"1991-01-07","1991","01","07","","-6.6","","-10.5","","-8.6","","26.6","","0.0","","0.0","","3.2","","0.8","","6","","","","",""
"1991-01-08","1991","01","08","","1.4","","-14.9","","-6.8","","24.8","","0.0","","0.0","T","1.6","","0.4","","9","","","","",""
"1991-01-09","1991","01","09","","2.1","","-4.5","","-1.2","","19.2","","0.0","","0.6","","0.2","","0.6","","5","","","","",""
"1991-01-10","1991","01","10","","-5.5","","-9.0","","-7.3","","25.3","","0.0","","0.0","","0.4","","0.2","","3","","","","",""
"1991-01-11","1991","01","11","","0.4","","-10.0","","-4.8","","22.8","","0.0","","3.6","","14.0","","21.6","","2","","","","",""
"1991-01-12","1991","01","12","","-2.9","","-7.2","","-5.1","","23.1","","0.0","","0.0","","1.4","","1.4","","12","","","","",""
"1991-01-13","1991","01","13","","0.8","","-11.0","","-5.1","","23.1","","0.0","","0.0","","0.6","","0.6","","12","","","","",""
"1991-01-14","1991","01","14","","2.8","","-4.0","","-0.6","","18.6","","0.0","","0.0","T","0.0","T","0.0","T","12","","","","",""
"1991-01-15","1991","01","15","","3.9","","2.2","","3.1","","14.9","","0.0","","2.8","","0.0","","2.8","","10","","","","",""
"1991-01-16","1991","01","16","","3.5","","2.7","","3.1","","14.9","","0.0","","5.4","","0.0","T","5.4","","6","","","","",""
"1991-01-17","1991","01","17","","2.9","","1.2","","2.1","","15.9","","0.0","","0.0","","0.0","T","0.0","T","4","","","","",""
"1991-01-18","1991","01","18","","1.1","","-1.0","","0.1","","17.9","","0.0","","0.0","","0.0","T","0.0","T","2","","","","",""
"1991-01-19","1991","01","19","","5.7","","0.0","","2.9","","15.1","","0.0","","0.0","T","0.0","","0.0","T","2","","","","",""
"1991-01-20","1991","01","20","","4.1","","-3.3","","0.4","","17.6","","0.0","","0.0","T","0.0","T","0.0","T","1","","","","",""
"1991-01-21","1991","01","21","","-13.0","","-17.8","","-15.4","","33.4","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1991-01-22","1991","01","22","","-3.3","","-16.4","","-9.9","","27.9","","0.0","","0.0","","0.2","","0.0","T","0","T","","","",""
"1991-01-23","1991","01","23","","0.0","","-7.1","","-3.6","","21.6","","0.0","","0.0","","1.8","","1.6","","0","T","","","",""
"1991-01-24","1991","01","24","","-4.9","","-9.0","","-7.0","","25.0","","0.0","","0.0","","0.2","","0.0","T","1","","","","",""
"1991-01-25","1991","01","25","","-7.2","","-14.2","","-10.7","","28.7","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"1991-01-26","1991","01","26","","-4.5","","-11.6","","-8.1","","26.1","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"1991-01-27","1991","01","27","","0.6","","-8.0","","-3.7","","21.7","","0.0","","0.0","","0.8","","0.8","","0","T","","","",""
"1991-01-28","1991","01","28","","2.4","","-3.7","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"1991-01-29","1991","01","29","","-0.5","","-5.8","","-3.2","","21.2","","0.0","","0.0","","1.8","","1.2","","0","T","","","",""
"1991-01-30","1991","01","30","","-2.6","","-6.1","","-4.4","","22.4","","0.0","","0.0","","0.0","T","0.0","T","2","","","","",""
"1991-01-31","1991","01","31","","-3.6","","-6.5","","-5.1","","23.1","","0.0","","0.0","","0.2","","0.0","T","1","","","","",""
"1991-02-01","1991","02","01","","1.2","","-9.1","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1991-02-02","1991","02","02","","7.6","","-4.3","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1991-02-03","1991","02","03","","10.0","","1.2","","5.6","","12.4","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1991-02-04","1991","02","04","","11.0","","3.4","","7.2","","10.8","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1991-02-05","1991","02","05","","9.6","","5.6","","7.6","","10.4","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-02-06","1991","02","06","","6.3","","2.0","","4.2","","13.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-02-07","1991","02","07","","5.1","","2.1","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-02-08","1991","02","08","","6.9","","-0.4","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-02-09","1991","02","09","","8.8","","0.8","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-02-10","1991","02","10","","1.2","","-3.2","","-1.0","","19.0","","0.0","","0.0","","0.6","","0.4","","0","","","","",""
"1991-02-11","1991","02","11","","-5.6","","-8.0","","-6.8","","24.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"1991-02-12","1991","02","12","","-1.8","","-11.1","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"1991-02-13","1991","02","13","","1.4","","-4.1","","-1.4","","19.4","","0.0","","0.0","","4.4","","4.8","","0","T","","","",""
"1991-02-14","1991","02","14","","-1.1","","-2.6","","-1.9","","19.9","","0.0","","0.0","","6.8","","8.8","","4","","","","",""
"1991-02-15","1991","02","15","","-11.5","","-14.6","","-13.1","","31.1","","0.0","","0.0","","1.4","","1.2","","9","","","","",""
"1991-02-16","1991","02","16","","-2.5","","-17.4","","-10.0","","28.0","","0.0","","0.0","","1.0","","1.0","","9","","","","",""
"1991-02-17","1991","02","17","","-1.2","","-7.0","","-4.1","","22.1","","0.0","","0.0","","0.4","","0.2","","10","","","","",""
"1991-02-18","1991","02","18","","3.9","","-5.2","","-0.7","","18.7","","0.0","","4.2","","0.0","","4.2","","9","","","","",""
"1991-02-19","1991","02","19","","8.0","","1.5","","4.8","","13.2","","0.0","","0.4","","0.0","T","0.4","","5","","","","",""
"1991-02-20","1991","02","20","","3.3","","1.1","","2.2","","15.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"1991-02-21","1991","02","21","","8.6","","0.8","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1991-02-22","1991","02","22","","4.7","","-0.2","","2.3","","15.7","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"1991-02-23","1991","02","23","","-2.4","","-13.7","","-8.1","","26.1","","0.0","","0.0","","4.4","","3.0","","0","","","","",""
"1991-02-24","1991","02","24","","3.1","","-8.5","","-2.7","","20.7","","0.0","","0.0","","3.0","","1.6","","4","","","","",""
"1991-02-25","1991","02","25","","-1.8","","-3.7","","-2.8","","20.8","","0.0","","0.0","","0.8","","0.4","","3","","","","",""
"1991-02-26","1991","02","26","","-1.4","","-5.4","","-3.4","","21.4","","0.0","","0.0","","0.0","T","0.0","T","2","","","","",""
"1991-02-27","1991","02","27","","-0.9","","-9.4","","-5.2","","23.2","","0.0","","0.0","","0.8","","0.4","","1","","","","",""
"1991-02-28","1991","02","28","","3.5","","-5.9","","-1.2","","19.2","","0.0","","0.0","T","2.2","","2.2","","1","","","","",""
"1991-03-01","1991","03","01","","11.3","","-1.0","","5.2","","12.8","","0.0","","9.8","","0.0","","9.8","","0","T","","","",""
"1991-03-02","1991","03","02","","16.1","","7.6","","11.9","","6.1","","0.0","","6.8","","0.0","","6.8","","0","","","","",""
"1991-03-03","1991","03","03","","-0.8","","-4.7","","-2.8","","20.8","","0.0","","13.0","","4.0","","17.0","","0","","","","",""
"1991-03-04","1991","03","04","","-0.9","","-3.6","","-2.3","","20.3","","0.0","","0.0","","2.8","","2.8","","4","","","","",""
"1991-03-05","1991","03","05","","4.9","","-3.6","","0.7","","17.3","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"1991-03-06","1991","03","06","","7.0","","1.9","","4.5","","13.5","","0.0","","17.2","","0.4","","17.6","","2","","","","",""
"1991-03-07","1991","03","07","","-1.4","","-5.0","","-3.2","","21.2","","0.0","","0.0","","0.4","","0.4","","0","T","","","",""
"1991-03-08","1991","03","08","","0.6","","-7.8","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1991-03-09","1991","03","09","","2.0","","-2.7","","-0.4","","18.4","","0.0","","0.0","","2.6","","2.6","","0","","","","",""
"1991-03-10","1991","03","10","","1.6","","-3.7","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"1991-03-11","1991","03","11","","-2.6","","-9.4","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1991-03-12","1991","03","12","","3.0","","-7.6","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1991-03-13","1991","03","13","","2.6","","-4.4","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-14","1991","03","14","","6.6","","-1.6","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-15","1991","03","15","","6.7","","1.9","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-16","1991","03","16","","12.5","","-0.7","","5.9","","12.1","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-17","1991","03","17","","10.4","","1.5","","6.0","","12.0","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"1991-03-18","1991","03","18","","5.2","","3.8","","4.5","","13.5","","0.0","","2.8","","0.0","","2.8","","0","","","","",""
"1991-03-19","1991","03","19","","9.0","","2.7","","5.9","","12.1","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"1991-03-20","1991","03","20","","8.9","","1.2","","5.1","","12.9","","0.0","","0.0","","0.2","","0.2","","0","","","","",""
"1991-03-21","1991","03","21","","4.1","","2.0","","3.1","","14.9","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"1991-03-22","1991","03","22","","4.4","","0.5","","2.5","","15.5","","0.0","","4.4","","0.0","","4.4","","0","","","","",""
"1991-03-23","1991","03","23","","11.7","","2.2","","7.0","","11.0","","0.0","","9.0","","0.0","","9.0","","0","","","","",""
"1991-03-24","1991","03","24","","8.0","","4.1","","6.1","","11.9","","0.0","","2.6","","0.0","","2.6","","0","","","","",""
"1991-03-25","1991","03","25","","7.0","","3.7","","5.4","","12.6","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"1991-03-26","1991","03","26","","9.0","","2.4","","5.7","","12.3","","0.0","","14.4","","0.0","","14.4","","0","","","","",""
