"Station Name","TORONTO"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158350"
"WMO Identifier","71266"
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2005-01-01","2005","01","01","","","","","","","","","","","","0.5","","0.0","","0.5","","0","T","","","",""
"2005-01-02","2005","01","02","","","","","","","","","","","","13.4","","0.0","","13.4","","0","T","","","",""
"2005-01-03","2005","01","03","","","","","","","","","","","","1.8","","0.0","T","1.8","","0","T","","","",""
"2005-01-04","2005","01","04","","","","","","","","","","","","0.0","","0.4","","0.6","","0","T","","","",""
"2005-01-05","2005","01","05","","","","","","","","","","","","0.0","","0.6","","0.6","","0","T","","","",""
"2005-01-06","2005","01","06","","","","","","","","","","","","0.4","","3.0","","9.8","","1","","","","",""
"2005-01-07","2005","01","07","","","","","","","","","","","","0.0","","0.0","","0.0","","4","","","","",""
"2005-01-08","2005","01","08","","","","","","","","","","","","0.0","","0.8","","1.4","","4","","","","",""
"2005-01-09","2005","01","09","","","","","","","","","","","","0.0","T","0.0","T","0.2","","3","","","","",""
"2005-01-10","2005","01","10","","","","","","","","","","","","0.0","","0.0","","0.0","","3","","","","",""
"2005-01-11","2005","01","11","","","","","","","","","","","","2.4","","0.0","T","2.4","","3","","","","",""
"2005-01-12","2005","01","12","","","","","","","","","","","","4.8","","0.0","","4.8","","3","","","","",""
"2005-01-13","2005","01","13","","","","","","","","","","","","13.2","","0.0","T","13.2","","0","T","","","",""
"2005-01-14","2005","01","14","","","","","","","","","","","","0.0","","0.0","T","0.0","T","0","T","","","",""
"2005-01-15","2005","01","15","","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"2005-01-16","2005","01","16","","","","","","","","","","","","0.0","","0.4","","0.4","","0","T","","","",""
"2005-01-17","2005","01","17","","","","","","","","","","","","0.0","","0.2","","0.2","","0","T","","","",""
"2005-01-18","2005","01","18","","","","","","","","","","","","0.0","","2.0","","2.2","","0","T","","","",""
"2005-01-19","2005","01","19","","","","","","","","","","","","0.0","","2.2","","1.6","","4","","","","",""
"2005-01-20","2005","01","20","","","","","","","","","","","","0.0","","0.0","","0.0","","5","","","","",""
"2005-01-21","2005","01","21","","","","","","","","","","","","0.0","","5.2","","1.8","","4","","","","",""
"2005-01-22","2005","01","22","","","","","","","","","","","","0.0","","8.0","","9.0","","13","","","","",""
"2005-01-23","2005","01","23","","","","","","","","","","","","0.0","","0.0","","0.0","","7","","","","",""
"2005-01-24","2005","01","24","","","","","","","","","","","","0.0","","1.2","","1.0","","7","","","","",""
"2005-01-25","2005","01","25","","","","","","","","","","","","0.0","","3.8","","7.4","","7","","","","",""
"2005-01-26","2005","01","26","","","","","","","","","","","","0.0","","0.0","","0.0","","12","","","","",""
"2005-01-27","2005","01","27","","","","","","","","","","","","0.0","","0.0","","0.0","","12","","","","",""
"2005-01-28","2005","01","28","","","","","","","","","","","","0.0","","0.0","","0.0","","12","","","","",""
"2005-01-29","2005","01","29","","","","","","","","","","","","0.0","","0.0","","0.0","","11","","","","",""
"2005-01-30","2005","01","30","","","","","","","","","","","","0.0","","0.0","","0.0","","11","","","","",""
"2005-01-31","2005","01","31","","","","","","","","","","","","0.0","","0.0","","0.0","","11","","","","",""
"2005-02-01","2005","02","01","","","","","","","","","","","","0.0","","0.0","","0.0","","8","","","","",""
